State,Avg_Daily_Distance_(km),Brand,Model,Price_INR,Year_of_Manufacture,Engine_Capacity_cc,Fuel_Type,Mileage_km_per_l,Owner_Type,Registration_Year,Insurance_Status,Seller_Type,Resale_Price_INR,City_Tier
west bengal,42.56,honda,unicorn,335346,2023,869,hybrid,71.46,second,2024,active,dealer,248193.98,tier 2
rajasthan,12.34,bajaj,pulsar 150,296836,2021,983,hybrid,99.9,first,2021,not available,individual,130167.29,tier 1
tamil nadu,12.59,bajaj,avenger 220,323235,2024,158,electric,93.36,second,2024,not available,individual,165176.17,tier 3
tamil nadu,41.75,yamaha,fz v3,251858,2024,193,hybrid,92.66,first,2024,active,individual,185017.03,tier 1
rajasthan,52.51,yamaha,r15 v4,103906,2024,605,petrol,46.27,first,2024,not available,individual,47612.58,metro
madhya pradesh,60.79,tvs,ronin,122641,2024,729,electric,85.79,third,2024,not available,dealer,96164.51,tier 2
west bengal,28.5,bajaj,dominar 400,386215,2017,445,petrol,26.09,third,2018,active,dealer,245041.18,tier 1
west bengal,37.54,tvs,sport,385671,2019,369,hybrid,93.74,second,2024,active,dealer,229843.47,tier 2
west bengal,71.47,tvs,ronin,280350,2022,817,petrol,34.37,second,2024,expired,individual,117145.83,tier 3
uttar pradesh,26.27,bajaj,avenger 220,100854,2016,615,petrol,35.58,third,2019,expired,individual,74877.79,tier 1
madhya pradesh,70.9,tvs,sport,99577,2015,169,hybrid,94.67,first,2015,not available,dealer,57421.87,tier 1
punjab,62.97,bajaj,pulsar 150,309441,2020,715,electric,86.06,first,2020,active,individual,199917.17,tier 2
delhi,65.75,royal enfield,interceptor 650,273997,2022,209,petrol,58.73,second,2023,active,individual,215428.56,tier 2
delhi,47.8,honda,unicorn,259385,2022,195,electric,93.35,first,2022,expired,individual,197760.05,tier 2
punjab,36.81,hero,splendor plus,79908,2023,971,petrol,54.43,third,2023,not available,individual,54363.32,tier 3
karnataka,35.39,tvs,apache rtr 160,385822,2019,765,petrol,42.97,first,2019,active,dealer,209566.7,tier 2
gujarat,24.81,hero,hf deluxe,161105,2023,105,hybrid,86.61,first,2023,expired,individual,91744.22,tier 1
uttar pradesh,26.88,bajaj,avenger 220,214030,2016,176,petrol,52.02,third,2018,not available,dealer,91233.3,tier 2
west bengal,43.79,ktm,390 adventure,325963,2022,375,hybrid,64.4,second,2022,expired,dealer,157743.79,tier 1
west bengal,55.91,honda,dio,136156,2016,579,petrol,31.95,first,2016,active,dealer,65576.03,tier 3
punjab,44.7,hero,glamour,198786,2019,542,petrol,29.49,first,2019,expired,individual,145261.54,tier 2
uttar pradesh,13.58,hero,xtreme 160r,250462,2015,647,electric,88.97,third,2017,not available,individual,115865.15,tier 1
west bengal,11.01,tvs,ronin,236303,2021,877,petrol,53.11,third,2023,active,individual,103242.42,tier 3
karnataka,32.64,honda,shine,336638,2017,575,hybrid,70.37,third,2021,not available,individual,238462.12,tier 3
madhya pradesh,39.46,tvs,ntorq 125,292002,2016,277,electric,82.5,second,2019,active,dealer,215862.87,tier 3
west bengal,48.16,yamaha,fascino 125,140993,2022,382,hybrid,77.81,third,2022,not available,individual,96056.57,tier 3
punjab,30.35,bajaj,avenger 220,91498,2018,973,electric,61.28,third,2020,active,dealer,46132.61,metro
tamil nadu,22.58,yamaha,fz v3,65569,2015,169,hybrid,73.29,first,2015,active,individual,35079.4,tier 3
karnataka,60.74,ktm,390 adventure,61526,2016,598,electric,81.38,second,2022,not available,individual,27992.34,metro
tamil nadu,20.63,honda,shine,146308,2019,808,hybrid,83.77,second,2022,not available,dealer,80884.08,tier 2
tamil nadu,8.92,yamaha,fascino 125,326280,2017,837,hybrid,88.88,second,2023,expired,individual,203791.95,tier 3
maharashtra,23.12,yamaha,fz v3,116504,2017,699,hybrid,90.02,third,2022,expired,individual,53430.47,tier 2
karnataka,31.27,tvs,apache rtr 160,224917,2016,454,petrol,27.28,third,2024,expired,dealer,103546.72,tier 3
tamil nadu,76.53,bajaj,avenger 220,66953,2015,692,petrol,46.34,third,2018,active,individual,40528.9,tier 1
tamil nadu,68.73,kawasaki,ninja 300,239548,2015,998,petrol,33.1,third,2021,not available,individual,153335.69,tier 2
madhya pradesh,56.35,tvs,ronin,101199,2018,230,electric,90.48,first,2018,expired,individual,66574.27,metro
madhya pradesh,59.34,tvs,apache rtr 160,356435,2024,662,electric,65.06,third,2024,not available,dealer,250941.57,tier 2
punjab,75.51,yamaha,r15 v4,363271,2024,612,petrol,29.12,first,2024,active,individual,182952.79,metro
maharashtra,56.7,kawasaki,ninja 300,375575,2015,530,petrol,42.98,first,2015,not available,dealer,291922.32,metro
gujarat,30.39,kawasaki,versys 650,130472,2017,857,hybrid,63.08,first,2017,expired,dealer,67273.42,tier 1
karnataka,74.59,yamaha,ray zr,396806,2018,954,petrol,54.56,first,2018,not available,dealer,174047.2,tier 2
delhi,58.04,tvs,sport,75299,2018,484,petrol,30.61,first,2018,active,dealer,59021.8,tier 1
maharashtra,13.42,honda,unicorn,155436,2024,133,petrol,51.53,third,2024,active,dealer,109227.11,tier 2
tamil nadu,9.38,tvs,apache rtr 160,142576,2016,705,petrol,31.41,second,2021,not available,individual,77826.08,metro
karnataka,22.43,honda,cbr 650r,207485,2015,133,electric,62.38,first,2015,active,individual,116449.3,tier 1
delhi,64.54,bajaj,pulsar 150,395607,2022,136,hybrid,91.96,first,2022,not available,dealer,289590.78,metro
delhi,55.63,bajaj,ct 100,320670,2023,425,hybrid,70.59,third,2024,expired,individual,154994.96,metro
uttar pradesh,56.01,honda,activa,364901,2021,105,hybrid,70.45,third,2021,expired,dealer,205957.55,metro
delhi,59.65,kawasaki,z650,320388,2022,680,electric,65.63,first,2022,not available,individual,139114.13,tier 1
tamil nadu,57.46,bajaj,dominar 400,307685,2021,787,petrol,26.19,first,2021,active,individual,135348.28,metro
maharashtra,12.21,kawasaki,ninja 400,125721,2021,256,petrol,51.54,first,2021,expired,individual,87080.18,tier 3
tamil nadu,31.13,ktm,250 duke,120785,2016,842,electric,60.76,third,2018,expired,dealer,58524.42,tier 1
rajasthan,68.86,tvs,apache rtr 160,322805,2020,274,electric,69.06,third,2021,not available,dealer,179197.1,metro
maharashtra,40.26,honda,activa,278177,2022,520,hybrid,87.52,first,2022,not available,individual,183999.58,tier 1
madhya pradesh,56.33,yamaha,mt-15,376238,2017,827,hybrid,74.64,second,2021,not available,dealer,292050.9,tier 2
maharashtra,58.88,tvs,jupiter,203805,2015,979,electric,60.96,second,2022,active,dealer,141970.73,tier 2
madhya pradesh,38.92,tvs,ntorq 125,376543,2020,718,hybrid,65.83,first,2020,active,dealer,212871.29,metro
gujarat,42.76,bajaj,dominar 400,393995,2018,293,hybrid,68.7,third,2020,expired,dealer,219346.47,tier 1
madhya pradesh,71.06,royal enfield,hunter 350,252320,2023,807,electric,81.94,second,2023,active,individual,120037.48,tier 3
tamil nadu,33.77,bajaj,ct 100,121087,2022,151,petrol,37.81,second,2023,expired,individual,55965.1,tier 2
punjab,36.19,ktm,250 duke,275695,2015,617,hybrid,90.42,third,2015,not available,individual,201257.8,tier 2
punjab,38.31,ktm,rc 390,340454,2016,103,hybrid,66.65,second,2019,expired,individual,262394.28,tier 3
gujarat,34.94,yamaha,fascino 125,141000,2015,593,electric,72.83,third,2019,expired,dealer,81853.75,tier 2
maharashtra,48.08,yamaha,fascino 125,320003,2019,380,hybrid,66.92,first,2019,not available,individual,205911.58,tier 2
madhya pradesh,41.71,tvs,sport,379513,2019,593,petrol,44.83,third,2022,not available,dealer,239699.49,tier 3
maharashtra,19.62,bajaj,ct 100,135697,2020,519,petrol,30.18,second,2020,expired,individual,57333.52,tier 1
tamil nadu,17.72,yamaha,fz v3,222167,2019,670,hybrid,80.82,third,2024,expired,dealer,144576.81,tier 1
maharashtra,37.9,kawasaki,ninja 300,91212,2020,765,petrol,37.22,second,2023,not available,dealer,61811.9,tier 2
rajasthan,35.83,kawasaki,ninja 400,203537,2024,395,petrol,46.35,first,2024,active,dealer,87374.49,tier 3
uttar pradesh,46.01,hero,passion pro,221366,2021,548,hybrid,65.05,third,2024,active,dealer,143221.15,metro
uttar pradesh,38.37,kawasaki,ninja 300,134073,2024,513,petrol,49.64,third,2024,active,individual,59613.59,tier 3
tamil nadu,57.96,ktm,250 duke,332860,2018,948,petrol,36.24,second,2023,active,dealer,213065.8,tier 2
punjab,42.28,bajaj,avenger 220,77951,2024,351,electric,78.87,third,2024,active,individual,58220.21,tier 3
west bengal,50.98,tvs,ronin,119946,2021,893,electric,76.14,first,2021,not available,dealer,70010.31,tier 3
rajasthan,72.95,yamaha,ray zr,161061,2016,785,electric,93.42,first,2016,not available,individual,79906.81,metro
uttar pradesh,45.25,kawasaki,ninja 300,211015,2015,899,hybrid,83.06,third,2022,expired,individual,132101.72,tier 2
west bengal,10.98,tvs,sport,272377,2021,536,electric,88.46,third,2021,not available,individual,194324.61,metro
delhi,66.8,royal enfield,interceptor 650,51819,2015,658,hybrid,89.99,first,2015,not available,dealer,40071.87,tier 2
delhi,57.79,royal enfield,hunter 350,133542,2024,965,hybrid,60.26,first,2024,expired,dealer,74939.98,tier 2
gujarat,25.09,ktm,rc 390,389950,2019,401,hybrid,72.65,third,2023,active,individual,235149.64,tier 3
west bengal,65.63,bajaj,ct 100,134121,2024,401,petrol,32.55,third,2024,expired,dealer,78547.55,metro
madhya pradesh,35.62,honda,activa,223597,2016,322,electric,85.05,first,2016,active,dealer,158829.93,metro
maharashtra,18.16,yamaha,r15 v4,215325,2020,174,hybrid,79.2,third,2020,not available,individual,100173.9,tier 3
madhya pradesh,44.41,tvs,apache rtr 160,261298,2016,294,electric,72.19,third,2021,expired,dealer,162383.27,tier 3
gujarat,68.59,yamaha,r15 v4,348441,2017,583,electric,64.86,third,2017,active,individual,229069.06,tier 2
rajasthan,47.89,yamaha,r15 v4,52332,2019,453,electric,97.15,third,2024,not available,dealer,34387.4,tier 3
uttar pradesh,10.0,honda,shine,342869,2018,479,electric,77.72,second,2023,not available,individual,240583.32,tier 1
tamil nadu,12.15,hero,passion pro,178709,2019,406,electric,83.0,second,2021,active,dealer,126289.57,tier 3
madhya pradesh,37.69,hero,splendor plus,304466,2015,930,electric,99.83,first,2015,expired,dealer,177765.68,tier 2
maharashtra,25.52,ktm,250 duke,340286,2018,438,electric,65.19,second,2021,active,individual,163750.28,tier 1
karnataka,78.02,kawasaki,z650,297335,2015,835,electric,64.72,second,2020,not available,dealer,128081.71,tier 2
delhi,54.79,ktm,125 duke,296622,2021,453,hybrid,63.06,third,2021,active,individual,132567.49,tier 3
punjab,61.73,bajaj,dominar 400,159344,2015,128,electric,93.49,first,2015,not available,dealer,80211.84,tier 2
rajasthan,77.65,bajaj,ct 100,241907,2024,530,hybrid,77.05,first,2024,not available,individual,144021.7,tier 2
delhi,79.21,hero,passion pro,198952,2021,816,petrol,49.02,first,2021,active,individual,103419.59,metro
maharashtra,56.15,tvs,jupiter,164488,2021,670,electric,65.26,second,2023,active,individual,124264.09,tier 2
uttar pradesh,16.1,royal enfield,interceptor 650,167254,2020,109,electric,84.15,second,2021,not available,dealer,129455.7,metro
tamil nadu,72.23,kawasaki,z650,155574,2024,840,petrol,49.8,second,2024,expired,individual,121376.15,tier 1
west bengal,38.2,yamaha,fascino 125,196186,2023,519,petrol,35.81,first,2023,active,dealer,83122.39,metro
rajasthan,33.62,tvs,apache rtr 160,305039,2017,539,electric,83.44,first,2017,expired,dealer,215505.69,metro
west bengal,73.16,royal enfield,meteor 350,395649,2017,999,petrol,41.0,third,2021,expired,dealer,265851.43,tier 3
punjab,48.46,kawasaki,vulcan s,369820,2019,654,electric,89.35,first,2019,not available,individual,246408.54,metro
tamil nadu,71.63,ktm,duke 200,320626,2022,270,petrol,46.57,third,2023,not available,dealer,156453.23,tier 1
maharashtra,76.24,tvs,jupiter,59238,2019,613,electric,74.92,second,2021,not available,dealer,23956.86,tier 1
punjab,63.97,hero,passion pro,329516,2017,485,petrol,43.94,third,2022,not available,dealer,155553.74,tier 1
madhya pradesh,71.65,ktm,390 adventure,356130,2020,272,electric,84.67,third,2020,active,individual,233134.59,tier 2
delhi,39.74,royal enfield,hunter 350,112752,2019,982,petrol,43.97,first,2019,active,dealer,81759.61,tier 2
madhya pradesh,72.93,honda,unicorn,284450,2019,309,electric,93.55,third,2019,not available,dealer,167439.48,tier 3
gujarat,72.36,hero,hf deluxe,139577,2018,225,petrol,35.75,third,2020,expired,individual,76341.38,tier 2
delhi,18.32,yamaha,mt-15,78965,2017,291,petrol,40.01,first,2017,not available,individual,38817.63,tier 3
rajasthan,56.64,ktm,rc 390,399424,2016,216,electric,70.49,third,2020,active,dealer,264211.83,tier 1
west bengal,28.6,kawasaki,ninja 300,148025,2015,258,petrol,34.53,second,2021,active,individual,116341.5,metro
madhya pradesh,20.84,royal enfield,meteor 350,371689,2017,797,petrol,41.04,third,2023,active,individual,201442.56,tier 3
maharashtra,9.32,kawasaki,ninja 400,215843,2024,187,petrol,33.49,third,2024,not available,dealer,150887.27,metro
maharashtra,31.57,royal enfield,hunter 350,149995,2020,309,hybrid,93.76,third,2020,expired,individual,70595.68,tier 3
delhi,70.95,royal enfield,meteor 350,135677,2024,706,hybrid,92.94,second,2024,active,individual,69640.3,tier 1
delhi,25.66,royal enfield,hunter 350,274366,2017,627,petrol,55.07,first,2017,expired,dealer,211887.68,metro
madhya pradesh,37.83,kawasaki,ninja 300,101679,2016,593,electric,87.72,first,2016,expired,dealer,51278.29,tier 1
west bengal,25.56,ktm,250 duke,370456,2020,357,hybrid,93.4,first,2020,active,individual,285118.2,tier 3
maharashtra,32.05,hero,hf deluxe,174191,2017,292,hybrid,70.26,third,2023,expired,dealer,111118.16,tier 2
delhi,16.39,kawasaki,vulcan s,373371,2019,382,hybrid,98.75,first,2019,active,dealer,193837.42,metro
karnataka,49.58,honda,activa,316877,2019,793,petrol,35.37,third,2022,active,individual,172802.36,tier 3
west bengal,40.32,tvs,sport,213681,2021,864,petrol,54.62,first,2021,active,individual,141674.8,metro
punjab,14.07,tvs,apache rtr 160,133805,2023,372,electric,81.54,second,2023,expired,individual,75051.13,tier 1
karnataka,77.22,hero,splendor plus,211399,2023,530,petrol,56.83,second,2023,expired,individual,95030.83,tier 2
karnataka,32.95,bajaj,pulsar 150,311628,2015,508,hybrid,60.06,first,2015,active,individual,173323.11,tier 1
maharashtra,45.36,yamaha,ray zr,167945,2019,695,petrol,43.72,first,2019,not available,dealer,73557.17,tier 2
tamil nadu,52.45,royal enfield,interceptor 650,112747,2016,516,hybrid,71.36,third,2023,expired,dealer,47298.94,tier 3
punjab,36.67,hero,splendor plus,392747,2016,290,petrol,50.94,second,2021,active,dealer,158485.92,tier 3
uttar pradesh,48.73,yamaha,fascino 125,338831,2022,166,electric,87.17,second,2023,not available,dealer,196061.24,tier 1
punjab,35.32,bajaj,ct 100,178049,2021,520,hybrid,87.18,first,2021,expired,dealer,114981.3,tier 3
west bengal,27.6,ktm,duke 200,398287,2016,479,hybrid,86.01,third,2017,active,individual,274925.1,metro
rajasthan,65.48,tvs,ronin,137017,2023,359,electric,96.33,third,2024,active,dealer,79347.72,tier 1
uttar pradesh,50.78,royal enfield,classic 350,75068,2023,565,hybrid,87.87,second,2024,expired,individual,45342.56,tier 3
karnataka,50.73,ktm,250 duke,330157,2023,686,hybrid,87.08,first,2023,expired,dealer,208574.66,metro
tamil nadu,45.3,tvs,ronin,384386,2019,430,electric,87.44,second,2024,expired,individual,220812.99,tier 1
delhi,66.77,tvs,ronin,364764,2022,581,electric,99.07,second,2023,active,dealer,148449.0,tier 1
madhya pradesh,62.05,ktm,rc 390,233560,2019,654,petrol,51.72,first,2019,not available,individual,161293.89,tier 1
karnataka,68.69,honda,shine,269277,2016,960,hybrid,73.19,third,2022,expired,individual,191053.38,tier 3
uttar pradesh,17.2,ktm,125 duke,100351,2019,923,hybrid,79.1,first,2019,active,individual,53013.87,tier 2
delhi,76.14,royal enfield,hunter 350,302081,2017,696,hybrid,77.12,second,2021,not available,individual,214488.75,tier 3
rajasthan,61.36,bajaj,avenger 220,76803,2023,515,electric,94.46,first,2023,expired,dealer,45609.78,tier 2
karnataka,15.65,kawasaki,ninja 400,240262,2020,330,electric,85.51,first,2020,active,dealer,132803.73,metro
maharashtra,47.38,ktm,390 adventure,262491,2024,635,petrol,45.97,first,2024,not available,individual,201684.49,tier 3
west bengal,33.54,tvs,ntorq 125,188250,2024,519,electric,60.66,second,2024,not available,individual,77958.01,tier 3
delhi,36.8,tvs,jupiter,259405,2015,947,petrol,37.45,second,2020,active,dealer,158828.49,tier 1
rajasthan,76.92,honda,dio,103418,2023,961,hybrid,61.55,first,2023,active,dealer,80402.38,tier 2
gujarat,25.57,ktm,390 adventure,224150,2018,759,hybrid,67.48,second,2020,not available,dealer,133998.39,tier 2
karnataka,19.01,bajaj,dominar 400,283810,2016,435,petrol,38.46,second,2019,active,dealer,133101.51,metro
madhya pradesh,77.54,kawasaki,versys 650,267705,2022,279,electric,80.72,first,2022,expired,dealer,122729.96,tier 1
karnataka,67.42,hero,glamour,356042,2015,739,hybrid,62.72,second,2020,active,individual,246954.48,tier 3
tamil nadu,77.59,ktm,125 duke,188519,2019,719,electric,80.76,first,2019,expired,individual,88738.4,tier 1
delhi,79.05,bajaj,dominar 400,275802,2017,254,hybrid,79.96,second,2020,not available,individual,128595.97,metro
punjab,41.05,yamaha,mt-15,70854,2016,953,electric,68.04,first,2016,not available,dealer,46261.22,metro
maharashtra,70.54,hero,xtreme 160r,339286,2021,201,petrol,49.33,second,2023,expired,dealer,183497.96,tier 3
west bengal,43.61,bajaj,pulsar 150,77767,2020,931,electric,97.82,third,2023,not available,individual,32074.53,metro
madhya pradesh,56.34,honda,unicorn,273211,2018,832,petrol,56.17,third,2020,expired,individual,122035.75,tier 3
karnataka,64.73,honda,unicorn,93378,2024,652,hybrid,93.18,first,2024,not available,individual,47741.69,tier 3
west bengal,36.94,royal enfield,himalayan,170910,2024,211,electric,61.91,third,2024,not available,individual,103132.98,tier 2
karnataka,44.45,bajaj,pulsar 150,162651,2018,431,hybrid,96.12,first,2018,expired,individual,91618.92,tier 3
maharashtra,47.89,bajaj,ct 100,245204,2020,244,hybrid,88.92,first,2020,expired,individual,110531.96,tier 1
west bengal,37.13,ktm,250 duke,258174,2020,841,petrol,36.44,third,2024,expired,dealer,146691.53,tier 3
maharashtra,65.71,ktm,390 adventure,274493,2017,771,hybrid,69.32,third,2019,expired,dealer,208818.09,tier 3
karnataka,42.36,ktm,390 adventure,288204,2016,641,electric,66.27,second,2022,not available,dealer,197776.78,tier 1
west bengal,66.6,hero,glamour,138595,2016,538,hybrid,87.12,first,2016,expired,dealer,69616.53,tier 3
uttar pradesh,15.98,hero,hf deluxe,269366,2024,400,petrol,27.79,first,2024,active,individual,145505.07,metro
tamil nadu,18.64,yamaha,mt-15,185605,2017,603,hybrid,88.46,third,2022,expired,individual,85728.06,metro
rajasthan,20.82,ktm,390 adventure,303416,2023,718,hybrid,74.1,first,2023,active,individual,157281.93,tier 2
karnataka,74.93,kawasaki,ninja 300,70806,2018,473,electric,82.97,second,2021,not available,individual,43484.1,metro
karnataka,39.72,bajaj,pulsar 150,381773,2017,821,hybrid,61.34,third,2021,active,individual,218593.41,tier 3
karnataka,51.67,ktm,390 adventure,176529,2021,243,electric,71.88,third,2021,expired,dealer,76436.96,tier 2
gujarat,76.95,yamaha,fz v3,365910,2022,656,hybrid,94.18,third,2024,not available,individual,180553.32,tier 1
karnataka,28.34,ktm,duke 200,241646,2024,390,hybrid,72.21,second,2024,not available,dealer,97027.78,tier 2
rajasthan,21.39,royal enfield,interceptor 650,142945,2019,190,hybrid,73.16,second,2020,not available,individual,81802.72,tier 1
maharashtra,13.87,tvs,apache rtr 160,127183,2023,286,hybrid,81.86,third,2023,expired,dealer,87580.71,tier 1
gujarat,30.29,honda,activa,203623,2018,640,petrol,47.6,second,2022,expired,individual,104437.95,tier 3
